MS Band Data Logger 2016-4-4
Time Stamp,Band Contact,Skin Temperature(°C)
06:31:26.762,WORN,32.21
06:31:26.804,WORN,32.21
06:32:12.282,WORN,32.14
06:32:42.388,WORN,32.18
06:33:20.397,WORN,32.22
06:33:51.437,WORN,32.24
06:34:22.368,WORN,32.27
06:34:53.425,WORN,32.33
06:35:24.281,WORN,32.26
06:35:55.781,WORN,32.08
06:36:26.922,WORN,31.84
06:36:57.927,WORN,31.70
06:37:28.924,WORN,31.56
06:37:59.925,WORN,31.37
06:38:31.424,WORN,31.16
06:39:21.430,WORN,31.26
06:39:52.367,WORN,31.32
06:40:23.371,WORN,31.32
06:40:54.274,WORN,31.37
06:41:25.774,WORN,31.43
06:41:56.879,WORN,31.50
06:42:27.930,WORN,31.62
06:42:58.921,WORN,31.76
06:43:29.928,WORN,31.84
06:44:01.427,WORN,31.97
06:44:32.428,WORN,32.08
06:45:03.424,WORN,32.24
06:45:34.428,WORN,32.47
06:46:05.366,WORN,32.66
06:46:36.423,WORN,32.77
06:47:07.867,WORN,32.92
06:47:38.871,WORN,33.01
06:48:09.922,WORN,33.03
06:48:41.439,WORN,33.05
06:49:11.936,WORN,33.10
06:49:42.927,WORN,33.21
06:50:13.929,WORN,33.17
06:50:44.867,WORN,33.23
06:51:15.926,WORN,33.29
06:51:47.285,WORN,33.38
06:52:18.285,WORN,33.46
06:52:49.367,WORN,33.43
06:53:20.437,WORN,33.46
06:53:51.427,WORN,33.41
06:54:22.867,WORN,33.43
06:54:53.930,WORN,33.48
06:55:24.933,WORN,33.57
06:55:55.878,WORN,33.65
06:56:26.925,WORN,33.68
06:56:58.427,WORN,33.63
06:57:29.423,WORN,33.57
06:58:00.426,WORN,33.54
06:58:31.425,WORN,33.60
06:59:02.376,WORN,33.57
06:59:33.442,WORN,33.63
07:00:04.426,WORN,33.57
07:00:35.429,WORN,33.50
07:01:06.367,WORN,33.44
07:01:37.870,WORN,33.41
07:02:08.928,WORN,33.32
07:02:30.427,NOT_WORN,33.32
07:02:39.368,NOT_WORN,30.33
07:02:44.437,NOT_WORN,30.33
07:03:10.422,NOT_WORN,29.81
07:03:41.367,NOT_WORN,29.80
07:04:12.926,NOT_WORN,29.71
07:04:43.928,NOT_WORN,29.54
07:05:14.867,NOT_WORN,29.37
07:05:45.922,NOT_WORN,29.18
07:06:16.924,NOT_WORN,28.96
07:06:48.369,NOT_WORN,28.78
07:07:19.437,NOT_WORN,28.59
07:07:50.283,NOT_WORN,28.43
07:08:21.283,NOT_WORN,28.26
07:08:52.306,NOT_WORN,28.09
07:09:23.895,NOT_WORN,27.94
07:09:54.896,NOT_WORN,27.78
07:10:25.891,NOT_WORN,27.65
07:10:56.887,NOT_WORN,27.51
07:11:27.890,NOT_WORN,27.41
07:11:59.426,NOT_WORN,27.29
07:12:30.366,NOT_WORN,27.18
07:13:01.417,NOT_WORN,27.09
07:13:32.424,NOT_WORN,26.98
07:14:03.423,NOT_WORN,26.88
07:14:34.549,NOT_WORN,26.79
07:15:05.868,NOT_WORN,26.70
07:15:36.927,NOT_WORN,26.62
07:16:07.929,NOT_WORN,26.55
07:16:38.922,NOT_WORN,26.48
07:17:09.936,NOT_WORN,26.42
07:17:41.391,NOT_WORN,26.33
07:18:12.366,NOT_WORN,26.29
07:18:43.368,NOT_WORN,26.21
07:19:14.368,NOT_WORN,26.14
07:19:45.284,NOT_WORN,26.08
07:20:16.778,NOT_WORN,26.02
07:20:47.893,NOT_WORN,25.96
07:21:18.895,NOT_WORN,25.93
07:21:50.422,NOT_WORN,25.90
07:22:20.927,NOT_WORN,25.87
07:22:38.426,WORN,25.87
14:17:09.529,WORN,34.45
14:17:09.543,WORN,34.45
14:17:20.871,WORN,34.48
14:17:51.927,WORN,34.40
14:18:22.870,WORN,34.34
14:18:53.930,WORN,34.33
14:19:25.936,WORN,34.30
14:19:57.926,WORN,34.31
14:20:27.370,WORN,34.27
14:21:11.289,WORN,34.17
14:21:31.310,WORN,34.08
14:22:00.901,WORN,34.00
14:22:31.904,WORN,33.91
14:23:02.926,WORN,33.87
14:23:33.929,WORN,33.90
14:24:04.944,WORN,33.99
14:24:36.437,WORN,33.90
14:25:07.428,WORN,33.77
14:25:37.930,WORN,33.66
14:26:08.930,WORN,33.60
14:26:39.790,WORN,33.52
14:27:11.288,WORN,33.43
14:27:42.391,WORN,33.34
14:28:13.308,WORN,33.28
14:28:44.393,WORN,33.21
14:29:15.390,WORN,33.17
14:29:46.404,WORN,33.14
14:30:17.894,WORN,33.14
14:30:49.308,WORN,33.17
14:31:20.901,WORN,33.20
14:31:50.895,WORN,33.28
14:32:21.929,WORN,33.24
14:32:53.371,WORN,33.27
14:33:24.369,WORN,33.23
14:33:55.427,WORN,33.20
14:34:26.432,WORN,33.21
14:34:57.369,WORN,33.23
14:35:28.870,WORN,33.12
14:36:00.431,WORN,33.07
14:36:30.290,WORN,33.08
14:37:01.289,WORN,33.03
14:37:32.896,WORN,32.99
14:38:03.891,WORN,32.93
14:38:34.894,WORN,32.90
14:50:42.498,WORN,32.70
14:50:42.531,WORN,32.70
14:51:00.788,WORN,32.63
14:51:31.792,WORN,32.60
14:52:02.936,WORN,32.53
14:52:36.932,WORN,32.55
14:53:05.935,WORN,32.57
14:53:36.430,WORN,32.60
14:54:07.428,WORN,32.63
14:54:38.436,WORN,32.71
14:55:09.432,WORN,32.70
14:55:40.429,WORN,32.76
14:56:11.430,WORN,32.77
14:56:42.433,WORN,32.81
14:57:13.931,WORN,32.83
14:57:44.434,WORN,32.81
14:58:16.436,WORN,32.92
14:58:46.871,WORN,32.92
14:59:17.893,WORN,32.88
15:17:17.359,WORN,32.96
15:17:17.398,WORN,32.96
15:17:25.789,WORN,32.90
15:17:56.308,WORN,32.84
15:18:27.896,WORN,32.83
15:32:16.251,WORN,34.15
15:32:16.302,WORN,34.15
15:32:18.892,WORN,34.15
15:32:18.917,WORN,34.15
15:32:33.290,WORN,34.23
15:32:59.288,WORN,34.32
15:33:29.430,WORN,34.40
15:34:00.928,WORN,34.38
15:34:36.434,WORN,34.35
15:35:21.874,WORN,34.37
15:35:33.933,WORN,34.47
15:36:04.428,WORN,34.54
15:36:35.435,WORN,34.65
15:37:07.430,WORN,34.70
15:37:37.427,WORN,34.71
15:38:08.434,WORN,34.74
15:38:40.933,WORN,34.81
15:39:11.374,WORN,34.90
15:39:41.924,WORN,34.98
15:40:13.431,WORN,35.10
15:40:43.927,WORN,35.13
15:41:14.930,WORN,35.08
15:41:45.928,WORN,34.97
16:02:25.133,WORN,33.21
16:02:25.166,WORN,33.21
16:02:29.783,WORN,33.32
16:03:01.791,WORN,33.28
16:03:31.898,WORN,33.26
16:04:02.399,WORN,33.19
16:04:33.423,WORN,33.19
16:05:04.437,WORN,33.23
16:05:35.936,WORN,33.19
16:06:06.872,WORN,33.14
16:06:37.370,WORN,33.14
16:07:08.428,WORN,33.25
17:02:44.394,WORN,33.12
17:02:44.412,WORN,33.12
17:03:05.804,WORN,33.04
17:03:37.246,WORN,32.94
17:04:08.302,WORN,32.97
17:04:39.801,WORN,32.94
22:02:55.200,WORN,32.72
22:02:55.238,WORN,32.72
22:03:23.517,WORN,32.77
22:03:56.071,WORN,32.77
22:04:25.578,WORN,32.77
22:05:00.088,WORN,32.79
22:05:55.572,WORN,32.90
22:05:58.577,WORN,33.03
22:06:30.071,WORN,33.18
22:07:02.078,WORN,33.19
22:07:32.073,WORN,33.17
22:08:03.074,WORN,33.15
22:08:39.080,WORN,33.14
22:09:05.577,WORN,33.17
22:09:39.071,WORN,33.17
22:10:10.584,WORN,33.18
22:10:38.578,WORN,33.25
22:11:09.577,WORN,33.25
22:11:41.079,WORN,33.25
22:12:13.088,WORN,33.25
22:12:43.013,WORN,33.25
22:13:14.578,WORN,33.28
22:13:46.081,WORN,33.29
22:14:16.016,WORN,33.28
22:14:47.586,WORN,33.27
22:15:18.020,WORN,33.27
22:15:52.017,WORN,33.30
22:16:20.073,WORN,33.28
22:16:51.581,WORN,33.28
22:17:22.437,WORN,33.39
22:17:54.438,WORN,33.40
22:19:01.577,WORN,33.35
22:19:02.931,WORN,33.29
22:19:27.583,WORN,33.17
22:19:58.079,WORN,33.11
22:20:29.084,WORN,33.08
22:21:35.021,WORN,33.17
22:22:06.078,WORN,33.12
22:22:37.077,WORN,33.01
22:22:56.078,NOT_WORN,33.01
22:23:26.939,NOT_WORN,31.39
22:23:57.939,NOT_WORN,30.88
22:24:29.049,NOT_WORN,29.09
22:25:00.081,NOT_WORN,29.23
22:25:31.019,NOT_WORN,29.20
22:26:02.075,NOT_WORN,29.06
22:26:33.521,NOT_WORN,28.89
22:27:04.585,NOT_WORN,28.68
22:27:35.579,NOT_WORN,28.45
22:28:06.578,NOT_WORN,28.23
22:28:37.584,NOT_WORN,28.01
22:29:09.097,NOT_WORN,27.80
22:29:40.023,NOT_WORN,27.60
22:30:11.083,NOT_WORN,27.42
22:30:42.094,NOT_WORN,27.24
22:31:13.081,NOT_WORN,27.08
22:31:44.579,NOT_WORN,26.93
22:32:15.583,NOT_WORN,26.79
22:32:46.586,NOT_WORN,26.66
22:33:17.584,NOT_WORN,26.52
22:33:48.442,NOT_WORN,26.39
22:34:19.561,NOT_WORN,26.28
22:34:51.052,NOT_WORN,26.19
22:35:22.081,NOT_WORN,26.09
22:35:53.082,NOT_WORN,25.98
22:36:24.078,NOT_WORN,25.90
22:36:55.082,NOT_WORN,25.82
22:37:26.578,NOT_WORN,25.74
22:37:57.578,NOT_WORN,25.68
22:38:28.519,NOT_WORN,25.60
22:38:59.579,NOT_WORN,25.53
22:39:30.579,NOT_WORN,25.48
22:40:02.093,NOT_WORN,25.43
22:40:33.084,NOT_WORN,25.37
22:41:04.080,NOT_WORN,25.32
22:41:35.078,NOT_WORN,25.28
22:42:06.088,NOT_WORN,25.24
22:42:37.582,NOT_WORN,25.20
22:43:08.586,NOT_WORN,25.15
22:43:39.532,NOT_WORN,25.11
22:44:10.594,NOT_WORN,25.08
22:44:41.587,NOT_WORN,25.05
22:45:13.081,NOT_WORN,25.01
22:45:44.240,NOT_WORN,24.98
22:46:15.089,NOT_WORN,24.94
22:46:46.026,NOT_WORN,24.92
22:47:16.942,NOT_WORN,24.89
22:47:47.943,NOT_WORN,24.87
22:48:19.465,NOT_WORN,24.85
22:48:50.559,NOT_WORN,24.82
22:49:21.560,NOT_WORN,24.80
22:49:52.547,NOT_WORN,24.78
22:50:23.525,NOT_WORN,24.76
22:50:55.084,NOT_WORN,24.74
22:51:26.056,NOT_WORN,24.72
22:51:57.028,NOT_WORN,24.70
22:52:27.937,NOT_WORN,24.44
22:52:58.950,NOT_WORN,24.10
22:53:30.436,NOT_WORN,23.85
22:54:01.448,NOT_WORN,23.66
22:54:32.438,NOT_WORN,23.51
22:55:03.436,NOT_WORN,23.38
22:55:34.447,NOT_WORN,23.28
22:56:05.439,NOT_WORN,23.17
22:56:36.936,NOT_WORN,23.10
22:57:07.948,NOT_WORN,23.03
22:57:38.938,NOT_WORN,22.98
22:58:09.936,NOT_WORN,22.93
22:58:40.937,NOT_WORN,22.88
22:59:12.439,NOT_WORN,22.84
22:59:43.448,NOT_WORN,22.81
23:00:14.442,NOT_WORN,22.77
23:00:45.449,NOT_WORN,22.74
23:01:16.450,NOT_WORN,22.72
23:01:47.938,NOT_WORN,22.69
23:02:18.948,NOT_WORN,22.66
23:02:49.949,NOT_WORN,22.63
23:03:20.946,NOT_WORN,22.60
23:03:51.939,NOT_WORN,22.53
23:04:23.438,NOT_WORN,22.48
23:04:54.525,NOT_WORN,22.41
23:05:25.595,NOT_WORN,22.35
23:05:56.586,NOT_WORN,22.29
23:06:27.579,NOT_WORN,22.22
23:06:58.528,NOT_WORN,22.17
23:07:30.090,NOT_WORN,22.11
23:08:01.090,NOT_WORN,22.06
23:08:32.028,NOT_WORN,22.01
23:09:03.088,NOT_WORN,21.96
23:09:34.090,NOT_WORN,21.90
23:10:05.530,NOT_WORN,21.85
23:10:36.586,NOT_WORN,21.82
23:11:07.537,NOT_WORN,21.77
23:11:38.595,NOT_WORN,21.73
23:12:09.590,NOT_WORN,21.69
23:12:41.088,NOT_WORN,21.65
23:13:12.091,NOT_WORN,21.62
23:13:43.090,NOT_WORN,21.59
23:14:14.091,NOT_WORN,21.56
23:14:45.029,NOT_WORN,21.52
23:15:16.592,NOT_WORN,21.50
23:15:47.586,NOT_WORN,21.47
23:16:18.589,NOT_WORN,21.43
23:16:49.590,NOT_WORN,21.43
23:17:20.440,NOT_WORN,21.39
23:17:51.442,NOT_WORN,21.37
23:18:23.087,NOT_WORN,21.35
23:18:54.100,NOT_WORN,21.32
23:19:25.086,NOT_WORN,21.31
23:19:56.090,NOT_WORN,21.28
23:20:27.095,NOT_WORN,21.26
