MS Band Data Logger 2016-3-16,,
Time Stamp,Band Contact,Skin Temperature(°C)
12:00:16 AM,WORN,33.38
12:00:47 AM,WORN,33.38
12:01:19 AM,WORN,33.39
12:01:50 AM,WORN,33.41
12:02:21 AM,WORN,33.46
12:02:52 AM,WORN,33.49
12:03:23 AM,WORN,33.54
12:03:54 AM,WORN,33.58
12:04:25 AM,WORN,33.6
12:04:56 AM,WORN,33.63
12:05:27 AM,WORN,33.47
12:05:59 AM,WORN,33.23
12:06:30 AM,WORN,33.04
12:07:01 AM,WORN,32.91
12:07:31 AM,WORN,32.79
12:08:02 AM,WORN,32.69
12:08:33 AM,WORN,32.58
12:09:05 AM,WORN,32.51
12:09:36 AM,WORN,32.52
12:10:07 AM,WORN,32.53
12:10:38 AM,WORN,32.53
12:11:09 AM,WORN,32.53
12:11:41 AM,WORN,32.56
12:12:11 AM,WORN,32.53
12:12:42 AM,WORN,32.56
12:13:13 AM,WORN,32.58
12:13:44 AM,WORN,32.61
12:14:15 AM,WORN,32.62
12:14:47 AM,WORN,32.67
12:15:18 AM,WORN,32.71
12:15:49 AM,WORN,32.73
12:16:20 AM,WORN,32.76
12:16:51 AM,WORN,32.84
12:17:22 AM,WORN,32.87
12:17:53 AM,WORN,32.89
12:18:24 AM,WORN,32.91
12:18:55 AM,WORN,32.93
12:19:26 AM,WORN,32.96
12:19:57 AM,WORN,33
12:20:28 AM,WORN,33.01
12:20:59 AM,WORN,33.04
12:21:30 AM,WORN,33.06
12:22:02 AM,WORN,33.07
12:22:33 AM,WORN,33.09
12:23:04 AM,WORN,33.09
12:23:35 AM,WORN,33.11
12:24:06 AM,WORN,33.13
12:24:37 AM,WORN,33.13
12:25:08 AM,WORN,33.14
12:25:39 AM,WORN,33.16
12:26:10 AM,WORN,33.16
12:26:41 AM,WORN,33.2
12:27:12 AM,WORN,33.24
12:27:43 AM,WORN,33.24
12:28:14 AM,WORN,33.24
12:28:45 AM,WORN,33.24
12:29:16 AM,WORN,33.23
12:29:48 AM,WORN,33.24
12:30:19 AM,WORN,33.23
12:30:50 AM,WORN,33.2
12:31:21 AM,WORN,33.18
12:31:52 AM,WORN,33.16
12:32:23 AM,WORN,33.15
12:32:54 AM,WORN,33.15
12:33:25 AM,WORN,33.13
12:33:56 AM,WORN,33.16
12:34:27 AM,WORN,33.15
12:34:59 AM,WORN,33.16
12:35:30 AM,WORN,33.16
12:36:01 AM,WORN,33.15
12:36:32 AM,WORN,33.17
12:37:03 AM,WORN,33.21
12:37:34 AM,WORN,33.21
12:38:05 AM,WORN,33.19
12:38:36 AM,WORN,33.15
12:39:07 AM,WORN,32.76
12:39:38 AM,WORN,32.6
12:40:09 AM,WORN,32.58
12:40:40 AM,WORN,32.62
12:41:11 AM,WORN,32.7
12:41:42 AM,WORN,32.8
12:42:13 AM,WORN,32.87
12:42:45 AM,WORN,32.97
12:43:16 AM,WORN,33.07
12:43:47 AM,WORN,33.16
12:44:18 AM,WORN,33.22
12:44:49 AM,WORN,33.3
12:45:20 AM,WORN,33.37
12:45:52 AM,WORN,33.55
12:46:22 AM,WORN,33.55
12:46:53 AM,WORN,33.56
12:47:24 AM,WORN,33.58
12:47:56 AM,WORN,33.54
12:48:26 AM,WORN,33.53
12:48:58 AM,WORN,33.51
12:49:28 AM,WORN,33.51
12:49:59 AM,WORN,33.51
12:50:31 AM,WORN,33.51
12:51:02 AM,WORN,33.5
12:51:33 AM,WORN,33.37
12:52:04 AM,WORN,33.2
